date-time,path,dung-luong(kb),thoi-gian(s),ngon-ngu,path,so-tu,so-cau,so-tu,so-cau,algorithm_summary,processing Time,predict text classification,R1-Recall,R1-Precision,R1-F1-score,R2-Recall,R2-Precision,R2-F1-score,Rl-Recall,Rl-Precision,Rl-F1-score
20230620_081536, vi/13.mp4,3046,84.87, vi, vi/13_vi.txt,236,9,39,2, edmundson,11.62681341, the_gioi,0.222222222,1,0.363636361,0.162162162,0.972972973,0.277992276,0.222222222,1,0.363636361
20230620_081551, vi/13.mp4,3046,84.87, vi, vi/13_vi.txt,236,9,63,2, kl,10.69900131, the_gioi,0.319444444,1,0.484210523,0.27027027,1,0.425531912,0.319444444,1,0.484210523
20230620_081605, vi/14.mp4,2922,46.12, vi, vi/14_vi.txt,153,2,153,2, lexrank,27.29650831, phap_luat,,,,,,,,,
20230620_081635, vi/14.mp4,2922,46.12, vi, vi/14_vi.txt,153,2,153,2, textrank,8.20842576, phap_luat,,,,,,,,,
20230620_081647, vi/14.mp4,2922,46.12, vi, vi/14_vi.txt,153,2,153,2, lsa,8.120427847, phap_luat,,,,,,,,,
20230620_081658, vi/14.mp4,2922,46.12, vi, vi/14_vi.txt,153,2,153,2, luhn,8.035405159, phap_luat,,,,,,,,,
20230620_081709, vi/14.mp4,2922,46.12, vi, vi/14_vi.txt,153,2,153,2, edmundson,8.153570652, phap_luat,,,,,,,,,
20230620_081721, vi/14.mp4,2922,46.12, vi, vi/14_vi.txt,153,2,153,2, kl,8.199187756, phap_luat,,,,,,,,,
20230620_081732, vi/15.mp4,2771,34.11, vi, vi/15_vi.txt,99,2,99,2, lexrank,22.08230376, chinh_tri_xa_hoi,,,,,,,,,
20230620_081758, vi/15.mp4,2771,34.11, vi, vi/15_vi.txt,99,2,99,2, textrank,7.72137332, chinh_tri_xa_hoi,,,,,,,,,
20230620_081808, vi/15.mp4,2771,34.11, vi, vi/15_vi.txt,99,2,99,2, lsa,7.62849474, chinh_tri_xa_hoi,,,,,,,,,
20230620_081819, vi/15.mp4,2771,34.11, vi, vi/15_vi.txt,99,2,99,2, luhn,7.552752495, chinh_tri_xa_hoi,,,,,,,,,
20230620_081830, vi/15.mp4,2771,34.11, vi, vi/15_vi.txt,99,2,99,2, edmundson,7.674115658, chinh_tri_xa_hoi,,,,,,,,,
20230620_081841, vi/15.mp4,2771,34.11, vi, vi/15_vi.txt,99,2,99,2, kl,7.825315475, chinh_tri_xa_hoi,,,,,,,,,
20230620_081852, vi/16.mp4,2760,36.57, vi, vi/16_vi.txt,114,2,114,2, lexrank,24.80824018, phap_luat,,,,,,,,,
20230620_081920, vi/16.mp4,2760,36.57, vi, vi/16_vi.txt,114,2,114,2, textrank,8.2387743, phap_luat,,,,,,,,,
20230620_081932, vi/16.mp4,2760,36.57, vi, vi/16_vi.txt,114,2,114,2, lsa,8.710504532, phap_luat,,,,,,,,,
20230620_081945, vi/16.mp4,2760,36.57, vi, vi/16_vi.txt,114,2,114,2, luhn,8.569227695, phap_luat,,,,,,,,,
20230620_081957, vi/16.mp4,2760,36.57, vi, vi/16_vi.txt,114,2,114,2, edmundson,7.960583925, phap_luat,,,,,,,,,
20230620_082008, vi/16.mp4,2760,36.57, vi, vi/16_vi.txt,114,2,114,2, kl,8.043332815, phap_luat,,,,,,,,,
20230620_082020, vi/17.mp4,2600,35.35, vi, vi/17_vi.txt,109,3,64,2, lexrank,25.66668987, phap_luat,0.620689655,1,0.765957442,0.575471698,1,0.730538918,0.620689655,1,0.765957442
20230620_082049, vi/17.mp4,2600,35.35, vi, vi/17_vi.txt,109,3,64,2, textrank,8.527827501, phap_luat,0.620689655,1,0.765957442,0.575471698,1,0.730538918,0.620689655,1,0.765957442
20230620_082102, vi/17.mp4,2600,35.35, vi, vi/17_vi.txt,109,3,64,2, lsa,8.205844164, phap_luat,0.620689655,1,0.765957442,0.575471698,1,0.730538918,0.620689655,1,0.765957442
20230620_082113, vi/17.mp4,2600,35.35, vi, vi/17_vi.txt,109,3,82,2, luhn,9.006508589, phap_luat,0.75862069,1,0.862745093,0.735849057,0.987341772,0.843243238,0.75862069,1,0.862745093
20230620_082125, vi/17.mp4,2600,35.35, vi, vi/17_vi.txt,109,3,82,2, edmundson,8.790297985, phap_luat,0.75862069,1,0.862745093,0.735849057,0.987341772,0.843243238,0.75862069,1,0.862745093
20230620_082137, vi/17.mp4,2600,35.35, vi, vi/17_vi.txt,109,3,72,2, kl,8.117181063, phap_luat,0.67816092,1,0.808219173,0.669811321,1,0.802259882,0.67816092,1,0.808219173
20230620_082149, vi/18.mp4,2360,45.76, vi, vi/18_vi.txt,131,3,130,2, lexrank,27.28069162, phap_luat,0.976190476,1,0.987951802,0.975,0.991525424,0.983193272,0.976190476,1,0.987951802
20230620_082219, vi/18.mp4,2360,45.76, vi, vi/18_vi.txt,131,3,130,2, textrank,8.689016342, phap_luat,0.976190476,1,0.987951802,0.975,0.991525424,0.983193272,0.976190476,1,0.987951802
20230620_082231, vi/18.mp4,2360,45.76, vi, vi/18_vi.txt,131,3,130,2, lsa,8.358376265, phap_luat,0.976190476,1,0.987951802,0.975,0.991525424,0.983193272,0.976190476,1,0.987951802
20230620_082243, vi/18.mp4,2360,45.76, vi, vi/18_vi.txt,131,3,130,2, luhn,8.159776688, phap_luat,0.976190476,1,0.987951802,0.975,0.991525424,0.983193272,0.976190476,1,0.987951802
20230620_082254, vi/18.mp4,2360,45.76, vi, vi/18_vi.txt,131,3,130,2, edmundson,8.131956816, phap_luat,0.976190476,1,0.987951802,0.975,0.991525424,0.983193272,0.976190476,1,0.987951802
20230620_082306, vi/18.mp4,2360,45.76, vi, vi/18_vi.txt,131,3,67,2, kl,9.387811422, phap_luat,0.571428571,1,0.727272723,0.516666667,1,0.681318677,0.571428571,1,0.727272723
20230620_082318, vi/19.mp4,2351,45.44, vi, vi/19_vi.txt,149,9,44,2, lexrank,29.84718704, phap_luat,0.333333333,1,0.499999996,0.27972028,0.975609756,0.434782605,0.333333333,1,0.499999996
20230620_082351, vi/19.mp4,2351,45.44, vi, vi/19_vi.txt,149,9,44,2, textrank,8.5906775, phap_luat,0.333333333,1,0.499999996,0.27972028,0.975609756,0.434782605,0.333333333,1,0.499999996
20230620_082404, vi/19.mp4,2351,45.44, vi, vi/19_vi.txt,149,9,51,2, lsa,11.57520723, phap_luat,0.434343434,1,0.605633799,0.328671329,0.979166667,0.492146593,0.434343434,1,0.605633799
20230620_082422, vi/19.mp4,2351,45.44, vi, vi/19_vi.txt,149,9,46,2, luhn,11.35526228, phap_luat,0.333333333,1,0.499999996,0.286713287,0.976190476,0.44324324,0.333333333,1,0.499999996
20230620_082439, vi/19.mp4,2351,45.44, vi, vi/19_vi.txt,149,9,25,2, edmundson,16.11621332, phap_luat,0.212121212,1,0.349999997,0.153846154,0.956521739,0.265060239,0.212121212,1,0.349999997
20230620_082501, vi/19.mp4,2351,45.44, vi, vi/19_vi.txt,149,9,49,2, kl,11.97186327, phap_luat,0.363636364,1,0.533333329,0.328671329,0.979166667,0.492146593,0.363636364,1,0.533333329
20230620_082520, vi/20.mp4,2338,31.87, vi, vi/20_vi.txt,3,1,3,1, lexrank,26.30094886, vi_tinh,,,,,,,,,
20230620_082551, vi/20.mp4,2338,31.87, vi, vi/20_vi.txt,3,1,3,1, textrank,8.147642136, vi_tinh,,,,,,,,,
20230620_082604, vi/20.mp4,2338,31.87, vi, vi/20_vi.txt,3,1,3,1, lsa,10.00193167, vi_tinh,,,,,,,,,
20230620_082618, vi/20.mp4,2338,31.87, vi, vi/20_vi.txt,3,1,3,1, luhn,9.738979816, vi_tinh,,,,,,,,,
20230620_082631, vi/20.mp4,2338,31.87, vi, vi/20_vi.txt,3,1,3,1, edmundson,7.867646217, vi_tinh,,,,,,,,,
20230620_082643, vi/20.mp4,2338,31.87, vi, vi/20_vi.txt,3,1,3,1, kl,9.212407827, vi_tinh,,,,,,,,,
20230620_082655, vi/21.mp4,2144,15.07, vi, vi/21_vi.txt,52,1,52,1, lexrank,25.32207108, phap_luat,,,,,,,,,
20230620_082724, vi/21.mp4,2144,15.07, vi, vi/21_vi.txt,52,1,52,1, textrank,7.450936079, phap_luat,,,,,,,,,
20230620_082735, vi/21.mp4,2144,15.07, vi, vi/21_vi.txt,52,1,52,1, lsa,7.491437197, phap_luat,,,,,,,,,
20230620_082746, vi/21.mp4,2144,15.07, vi, vi/21_vi.txt,52,1,52,1, luhn,7.727452993, phap_luat,,,,,,,,,
20230620_082757, vi/21.mp4,2144,15.07, vi, vi/21_vi.txt,52,1,52,1, edmundson,7.507997274, phap_luat,,,,,,,,,
20230620_082808, vi/21.mp4,2144,15.07, vi, vi/21_vi.txt,52,1,52,1, kl,7.349747658, phap_luat,,,,,,,,,
20230620_082819, vi/22.mp4,1971,71.59, vi, vi/22_vi.txt,168,7,66,2, lexrank,65.44620848, the_gioi,0.467889908,1,0.637499996,0.4,1,0.571428567,0.467889908,1,0.637499996
20230620_082928, vi/22.mp4,1971,71.59, vi, vi/22_vi.txt,168,7,66,2, textrank,19.97150302, the_gioi,0.467889908,1,0.637499996,0.4,1,0.571428567,0.467889908,1,0.637499996
